,zn,E_HFB,E_PNP,E_PNPAMP
354,"[70, 178]",1485.49245515,1487.54169351,1489.99522599
355,"[84, 156]",1731.10646444,1732.77680741,1735.2363525
356,"[50, 58]",913.0095522,913.67181922,916.81184127
357,"[44, 60]",887.16634707,888.71494503,891.46720246
358,"[82, 116]",1546.76203067,1547.13321495,1550.0243282
359,"[62, 128]",1368.96543637,1370.44220746,1372.42237323
360,"[76, 122]",1543.43842582,1544.7620025,1547.41385313
361,"[32, 70]",732.6219995,734.11711967,737.11557586
362,"[46, 48]",789.38413572,790.57928002,792.09912176
363,"[32, 30]",514.51009519,515.3038289,518.42979405
364,"[62, 68]",1044.54121717,1046.20907614,1049.22999447
365,"[22, 22]",373.32655362,374.14420783,376.24483543
366,"[78, 132]",1601.89994015,1603.5848575,1605.72791116
367,"[104, 196]",2032.80500523,2034.5228929,2038.11287114
368,"[24, 36]",508.97623291,510.31048094,512.61234494
369,"[72, 170]",1541.98284827,1543.58170054,1546.18298444
370,"[36, 54]",767.47197735,769.20498909,771.71160535
371,"[20, 32]",435.96001325,436.81602721,437.95797061
372,"[98, 144]",1790.38197269,1791.07332401,1793.55125843
373,"[38, 70]",855.25010945,856.13457327,859.18162706
374,"[78, 174]",1660.14194299,1661.43647542,1663.959895
375,"[42, 76]",942.4826821,943.73008681,946.29054485
376,"[78, 162]",1655.16696217,1656.82708694,1659.54371762
377,"[82, 162]",1716.07646213,1717.12386619,1719.71751195
378,"[30, 58]",685.86637134,686.88792426,689.24144817
379,"[106, 190]",2037.93041559,2039.55939716,2041.82548318
380,"[76, 90]",1298.84059751,1300.41972999,1302.92713449
381,"[80, 126]",1607.00648124,1607.74906475,1609.33347968
382,"[80, 150]",1668.21054218,1670.119088,1672.60394795
383,"[76, 138]",1590.77688549,1592.33363105,1594.64218951
384,"[60, 136]",1323.26472982,1325.15931481,1327.43520512
385,"[62, 120]",1355.66485912,1357.612511,1360.37708364
386,"[94, 190]",1913.35909156,1915.12442576,1917.4906104
387,"[70, 138]",1504.76397565,1506.38291948,1508.71429304
388,"[86, 128]",1648.53117182,1649.92492841,1652.16866512
389,"[40, 40]",667.91299994,667.91299999,676.45520949
390,"[80, 166]",1690.9014229,1691.75568562,1694.60341344
391,"[86, 192]",1796.26417364,1797.85692515,1799.84140172
392,"[50, 80]",1087.1865253,1087.48433272,1089.50899789
393,"[58, 82]",1167.64142157,1169.04872377,1171.54143613
394,"[98, 150]",1827.72170491,1828.25742528,1830.68136991
395,"[94, 182]",1909.327588,1910.79215784,1912.99908231
396,"[84, 142]",1691.69008116,1692.63030982,1695.13929989
397,"[68, 146]",1477.11525746,1478.85394939,1481.21338859
398,"[92, 150]",1790.26717428,1791.90237553,1794.21342769
399,"[80, 106]",1454.82228473,1455.94442242,1458.79293004
400,"[60, 94]",1251.26838708,1251.84963275,1254.74292783
401,"[56, 60]",944.01454503,945.18168488,948.0386568
402,"[54, 98]",1187.68023102,1189.13594213,1191.93211234
403,"[32, 36]",586.22770694,587.59164892,590.73733934
404,"[74, 98]",1369.21228112,1370.75296007,1373.48617207
405,"[68, 158]",1473.23514905,1474.63068861,1477.1343579
406,"[74, 114]",1481.34649831,1482.45114479,1485.68081637
407,"[58, 88]",1199.39511739,1201.08436192,1203.45441197
408,"[68, 118]",1437.42260828,1438.47916371,1441.03146931
409,"[100, 130]",1682.641401,1684.30593269,1689.27122473
410,"[80, 154]",1675.60410243,1677.22733813,1679.83089785
411,"[92, 166]",1845.22830915,1846.85796713,1849.47301563
412,"[40, 72]",896.22819558,896.94114936,899.18687282
413,"[22, 44]",500.23194499,501.57698587,503.76855041
414,"[74, 132]",1553.22223699,1555.09551688,1557.27497012
415,"[62, 78]",1150.16763863,1151.84674601,1154.62643366
416,"[78, 116]",1523.22671412,1524.49725038,1527.25957113
417,"[62, 118]",1351.36979308,1353.15929912,1356.10733361
418,"[76, 88]",1278.62539308,1280.37652117,1282.66822733
419,"[48, 94]",1081.09111177,1081.89049592,1084.16033117
420,"[68, 102]",1366.94223932,1367.95298617,1370.9234402
421,"[110, 186]",2057.65862188,2059.68871941,2061.65906536
422,"[70, 148]",1513.68540988,1515.33076277,1517.88403247
423,"[102, 160]",1900.24057636,1901.48339993,1904.09070955
424,"[72, 96]",1345.10630365,1346.29575467,1349.1783994
425,"[22, 28]",436.33897587,436.75535489,439.57166231
426,"[94, 134]",1710.21587497,1711.51006895,1714.13833843
427,"[86, 180]",1801.13969431,1802.60571354,1804.46391695
428,"[76, 104]",1425.28719729,1426.96040919,1429.78994484
429,"[68, 128]",1465.61854699,1467.35868884,1469.25461517
430,"[62, 116]",1347.87326421,1349.59548309,1352.86406239
431,"[54, 84]",1144.6374642,1145.7764252,1147.87138064
432,"[22, 18]",315.1923552,316.32806576,318.23164453
433,"[94, 130]",1679.10072579,1680.85493653,1683.35865561
434,"[68, 112]",1417.02624073,1417.45222576,1420.67794877
435,"[82, 100]",1402.57064368,1403.27312339,1406.18266813
436,"[44, 72]",957.03484576,958.25969931,960.82110355
437,"[106, 192]",2042.73473464,2044.10293833,2046.45005722
